FILE	HARDCODED_HITS	HAS_I18N
features/journal/components/purchase-order-payment-journal.tsx	35	yes
features/clearing-agent/components/transit-entry-management.tsx	28	yes
features/clearing-agent/components/customer-order-management-view.tsx	26	yes
features/audit/components/all-deleted-records-view.tsx	25	yes
app/dashboard/documents/bill-of-lading/page.tsx	24	NO
app/dashboard/reports/handover/page.tsx	23	yes
features/purchases/components/purchase-booking-journal-report-view.tsx	23	yes
features/audit/components/all-edit-version-history-view.tsx	22	yes
features/users/components/user-registration-wizard.tsx	22	yes
features/accounts/components/account-profile-view.tsx	19	yes
features/locations/components/location-registry.tsx	19	yes
features/purchases/components/purchase-order-management-dashboard.tsx	18	yes
app/dashboard/new-entry/users/all/page.tsx	17	yes
app/dashboard/search/page.tsx	16	NO
components/reports/universal-pdf-viewer.tsx	16	NO
features/documents/components/document-manager.tsx	16	yes
app/dashboard/settings/profile/page.tsx	15	NO
features/roznamcha/components/bank-roznamcha-report-view.tsx	15	yes
app/dashboard/page.tsx	14	yes
app/dashboard/settings/management/chs-products/ui-client.tsx	14	NO
features/messages/components/email-management.tsx	13	yes
features/purchases/components/purchase-loading-records-view.tsx	13	yes
features/branch-management/components/branch-general-report-view.tsx	12	yes
features/branches/components/super-admin-branch-setup.tsx	11	yes
features/hr-payroll/components/employee-management-view.tsx	11	yes
features/inventory/components/inventory-workspace-client.tsx	11	yes
app/dashboard/settings/management/page.tsx	10	NO
features/purchases/components/local-purchase-view.tsx	10	yes
features/roznamcha/components/money-exchange-form.tsx	10	yes
app/dashboard/settings/translations/page.tsx	9	NO
features/general-office/components/general-office-dashboard-view-clean.tsx	9	yes
features/locations/components/location-setup.tsx	9	yes
features/purchases/components/completed-purchase-bills-view.tsx	9	yes
features/audit/components/deleted-record-detail-view.tsx	8	yes
features/crm/components/smart-crm-control-center.tsx	8	yes
features/branches/components/country-branch-setup.tsx	7	yes
features/roznamcha/components/expenses-bill-entry-form.tsx	7	yes
app/dashboard/settings/management/taxes/ui-client.tsx	6	NO
app/dashboard/settings/page.tsx	6	NO
app/onboarding/page.tsx	6	NO
features/journal/components/journal-booking-stock-dashboard.tsx	6	yes
features/journal/components/sales-order-payment-journal.tsx	6	yes
features/users/components/user-profile-report-modal.tsx	6	yes
app/dashboard/kyc-reports/page.tsx	5	yes
app/dashboard/messages/whatsapp/setup/page.tsx	5	NO
app/dashboard/settings/management/goods/ui-client.tsx	5	NO
app/dashboard/walkthrough-video/page.tsx	5	NO
components/reports/full-purchase-booking-report.tsx	5	yes
features/shipping/components/shipping-line-stage-page.tsx	5	yes
app/dashboard/inter-country-transfers/page.tsx	4	yes
components/layout/install-app-banner.tsx	4	NO
features/ports/components/port-master-client.tsx	4	yes
features/sales/components/quotation-view.tsx	4	yes
features/sales/components/sales-module-workspace.tsx	4	yes
app/dashboard/branch-management/page.tsx	3	NO
features/branches/components/branch-record-profile.tsx	3	NO
features/clearing-agent/components/agent-custom-entry-management.tsx	3	yes
features/clearing-agent/components/payment-bill-management.tsx	3	yes
features/companies/components/company-incorporation-form.tsx	3	yes
features/hr-payroll/components/employee-profile-drawer.tsx	3	yes
